"External ID","Name","Supplier/Supplier Product Code"
"AUTOLAMPS0111","ISUZU DMAX (06-07) - TAIL LENS (DARK RED)((213-1929-UE-S-00) - RH","ANHUI TINCAI SILK CO. LTD"
"AUTOLAMPS0102","ISUZU DMAX (06-11) - FOG LAMP (213-2019) - LH","IZ05-0605"
"AUTOLAMPS0103","ISUZU DMAX (06-11) - FOG LAMP (213-2019) - RH","IZ05-0605"
"AUTOLAMPS0101","ISUZU DMAX (06-11) - FRONT BUMPER 2WD","IZ05-0607"
"AUTOLAMPS0104","ISUZU DMAX (06-11) - FRONT GRILL (GREY)","IZ05-0611A"
"AUTOLAMPS0105","ISUZU DMAX (06-11) - GRILL (CHROME)","IZ05-0611A-C"
"AUTOLAMPS0106","ISUZU DMAX (06-11) - HEAD LAMP (213-1138) - LH","GL-017-001"
"AUTOLAMPS0107","ISUZU DMAX (06-11) - HEAD LAMP (213-1138) - RH","GL-017-001"
"AUTOLAMPS0121","ISUZU DMAX (10-11) - GRILL (CHROME/GREY)","IZ05-0611B"
"AUTOLAMPS0119","ISUZU DMAX (12-15) - FOG LAMP W/HOUSING - LH","IZ05-0804A"
"AUTOLAMPS0120","ISUZU DMAX (12-15) - FOG LAMP W/HOUSING - RH","IZ05-0804A"
"AUTOLAMPS0118","ISUZU DMAX (12-15) - FRONT BUMPER (4WD)","IZ05-0807B"
"AUTOLAMPS0122","ISUZU DMAX (12-15) - FRONT GRILL","IZ05-0811A"
"AUTOLAMPS0123","ISUZU DMAX (12-15) - HEAD LAMP - LH","IZ05-0801A"
"AUTOLAMPS0124","ISUZU DMAX (12-15) - HEAD LAMP - RH","IZ05-0801A"
"AUTOLAMPS0125","ISUZU DMAX (12-15) - SIDE MIRROR (MANUAL) - LH","GL-017-007"
"AUTOLAMPS0126","ISUZU DMAX (12-15) - SIDE MIRROR (MANUAL) - RH","GL-017-007"
"AUTOLAMPS0127","ISUZU DMAX (12-15) - TAIL LAMP - LH","IZ05-0802A"
"AUTOLAMPS0128","ISUZU DMAX (12-15) - TAIL LAMP - RH","IZ05-0802A"
"AUTOLAMPS0117","ISUZU DMAX (12-) - REAR HEATED WINDSCREEN","1410*330"
"AUTOLAMPS0129","ISUZU DMAX - 5D SUV&PICKUP (12-16) - LAMINATED FRONT WINDSCREEN","1449*849"
"AUTOLAMPS0130","ISUZU DMAX D/CAB (12-) - FRONT DOOR GLASS - LH","844*542"
"AUTOLAMPS0131","ISUZU DMAX D/CAB (12-) - FRONT DOOR GLASS - RH","844*542"
"AUTOLAMPS0132","ISUZU DMAX D/CAB (12-) - REAR DOOR GLASS - LH","671*506"
"AUTOLAMPS0133","ISUZU DMAX D/CAB (12-) - REAR DOOR GLASS - RH","671*506"
"AUTOLAMPS0134","ISUZU DMAX D/CAB (12-) - SIDE FIX WINDOW - LH","462*457"
"AUTOLAMPS0135","ISUZU DMAX D/CAB (12-) - SIDE FIX WINDOW - RH","462*457"
"AUTOLAMPS0076","ISUZU D-MAX PICK-UP (02-) - LAMINATED FRONT WINDSCREEN","1456*790"
"AUTOLAMPS0137","ISUZU ELF NKR CABOVER TRUCK(STANDARD BODY) (84-93) - LAMINATED FRONT WINDSCREEN","1484*753"
"AUTOLAMPS0800","ISUZU ELF NPR100P NEW - CORNER LAMP - LH","IZ02-0303"
"AUTOLAMPS0801","ISUZU ELF NPR100P NEW - CORNER LAMP - RH","IZ02-0303"
"AUTOLAMPS0138","ISUZU ELF NPR100P NEW - CORNER PANEL","GL-01-64"
"AUTOLAMPS0139","ISUZU ELF NPR100P NEW - GRILL","GL-01-063"
"AUTOLAMPS0802","ISUZU ELF NPR100P NEW - HEAD LAMP - LH","IZ02-0301"
"AUTOLAMPS0803","ISUZU ELF NPR100P NEW - HEAD LAMP - RH","IZ02-0301"
"AUTOLAMPS0248","ISUZU ELF NR93 CABOVER TRUCK (LOW-CAB) (93-) - LAMINATED FRONT WINDSCREEN","1536*747"
"AUTOLAMPS0140","ISUZU ELF NR93H CABOVER TRUCK HI-CAB (93-) - LAMINATED FRONT WINDSCREEN","1539*792"
"AUTOLAMPS0136","ISUZU ELF NR93W CABOVER TRUCK (93-) (WIDE-CAB)/ NPR 4.3  - LAMINATED FRONT WINDSCREEN","1844*794"
"AUTOLAMPS0141","ISUZU FORWARD OOP TRUCK  FSR/FTR (94-) - LAMINATED FRONT WINDSCREEN","1999*868"
"AUTOLAMPS0142","ISUZU FSR/FVR - BUMPER/FRONT LAMP (213-1621-YU) - LH","IZ10-0105"
"AUTOLAMPS0143","ISUZU FSR/FVR - BUMPER/FRONT LAMP (213-1621-YU) - RH","IZ10-0105"
"AUTOLAMPS0148","ISUZU FSR/FVR - HEAD GLASS (CHINA) - LH","IZ10-0101"
"AUTOLAMPS0149","ISUZU FSR/FVR - HEAD GLASS (CHINA) - RH","IZ10-0101"
"AUTOLAMPS0146","ISUZU FSR/FVR - HEAD GLASS  - LH","IZ10-0101-00"
"AUTOLAMPS0147","ISUZU FSR/FVR - HEAD GLASS  - RH","IZ10-0101-00"
"AUTOLAMPS0150","ISUZU FSR/FVR - HEAD LAMP - LH","IZ10-0101"
"AUTOLAMPS0151","ISUZU FSR/FVR - HEAD LAMP - RH","IZ10-0101"
"AUTOLAMPS0154","ISUZU FSR/FVR - SIDE LAMP (213-1405-A) - LH","IZ10-0106A"
"AUTOLAMPS0155","ISUZU FSR/FVR - SIDE LAMP (213-1405-A) - RH","IZ10-0106A"
"AUTOLAMPS0157","ISUZU FSR/FVR - SIDE MIRROR GLASS","LL-047-00"
"AUTOLAMPS0144","ISUZU FSR/FVR/TX - CORNER LAMP (213-1616) - LH","IZ01-0104"
"AUTOLAMPS0145","ISUZU FSR/FVR/TX - CORNER LAMP (213-1616) - RH","IZ01-0104"
"AUTOLAMPS0152","ISUZU FSR/FVR/TX/FUSO - TAIL LENS (214-1911-A) (RED) ","IZ01-0102B-00"
"AUTOLAMPS0153","ISUZU FSR/FVR/TX/FUSO - TAIL LENS (214-1911-A)(YELLOW) ","IZ01-0102B-00"
"AUTOLAMPS0156","ISUZU FSR SIDE MIRROR","LL-047"
"AUTOLAMPS0158","ISUZU NHR 3.6 (93-03) - FRONT GRILL (SMALL)","IZ02-0114"
"AUTOLAMPS0159","ISUZU NHR 4.3 (04-05) - FRONT GRILL(SHORT)","IZ07-0114A"
"AUTOLAMPS0160","ISUZU NHR 4.3 (04-14) - FRONT WIPER PANEL ","IZ07-0115B"
